ticker,yahoo_ticker
NVDA,NVDA
AAPL,AAPL
GOOGL,GOOGL
GOOG,GOOG
MSFT,MSFT
AMZN,AMZN
AVGO,AVGO
META,META
TSLA,TSLA
LLY,LLY
JPM,JPM
WMT,WMT
AMD,AMD
V,V
XOM,XOM
JNJ,JNJ
INTC,INTC
MA,MA
ABBV,ABBV
BAC,BAC
CSCO,CSCO
COST,COST
ORCL,ORCL
LRCX,LRCX
AMAT,AMAT
CVX,CVX
GE,GE
CAT,CAT
KO,KO
UNH,UNH
MS,MS
MRK,MRK
PG,PG
NFLX,NFLX
PANW,PANW
RTX,RTX
DELL,DELL
GS,GS
PM,PM
WFC,WFC
KLAC,KLAC
TXN,TXN
ANET,ANET
AMGN,AMGN
C,C
AXP,AXP
IBM,IBM
TMO,TMO
CRWD,CRWD
VZ,VZ
TMUS,TMUS
APH,APH
ABT,ABT
SCHW,SCHW
PEP,PEP
MRVL,MRVL
MCD,MCD
BLK,BLK
ADI,ADI
DIS,DIS
NEE,NEE
WDC,WDC
UNP,UNP
GILD,GILD
BA,BA
T,T
BX,BX
TJX,TJX
QCOM,QCOM
ETN,ETN
DE,DE
BKNG,BKNG
COP,COP
PFE,PFE
IBKR,IBKR
UBER,UBER
ISRG,ISRG
DHR,DHR
LMT,LMT
GLW,GLW
COF,COF
PLD,PLD
BMY,BMY
VRTX,VRTX
CB,CB
PH,PH
SYK,SYK
NOW,NOW
SPGI,SPGI
NEM,NEM
SBUX,SBUX
CVS,CVS
PGR,PGR
FTNT,FTNT
HWM,HWM
MO,MO
ADP,ADP
ACN,ACN
NET,NET
GD,GD
SO,SO
ADBE,ADBE
PWR,PWR
MPC,MPC
MCK,MCK
PNC,PNC
USB,USB
VLO,VLO
KKR,KKR
CME,CME
CVNA,CVNA
DUK,DUK
INTU,INTU
MAR,MAR
MMM,MMM
CSX,CSX
FCX,FCX
CMCSA,CMCSA
MNST,MNST
WMB,WMB
JCI,JCI
WM,WM
HCA,HCA
MRSH,MRSH
DDOG,DDOG
EMR,EMR
ICE,ICE
CDNS,CDNS
ELV,ELV
UPS,UPS
CMI,CMI
MCO,MCO
SHW,SHW
NOC,NOC
SPG,SPG
REGN,REGN
ITW,ITW
AMT,AMT
MDLZ,MDLZ
RCL,RCL
CTAS,CTAS
SLB,SLB
ECL,ECL
LITE,LITE
MSI,MSI
FDX,FDX
SNPS,SNPS
EOG,EOG
TRV,TRV
NSC,NSC
ROST,ROST
GM,GM
BSX,BSX
HLT,HLT
ORLY,ORLY
CI,CI
AON,AON
HPE,HPE
CL,CL
KMI,KMI
HON,HON
URI,URI
AEP,AEP
TDG,TDG
APD,APD
PCAR,PCAR
RSG,RSG
ALL,ALL
MPWR,MPWR
AJG,AJG
TFC,TFC
BKR,BKR
TRGP,TRGP
TER,TER
GWW,GWW
MET,MET
OKE,OKE
AFL,AFL
PSA,PSA
COR,COR
D,D
COHR,COHR
NUE,NUE
NKE,NKE
OXY,OXY
FAST,FAST
FANG,FANG
AME,AME
KEYS,KEYS
SRE,SRE
CIEN,CIEN
F,F
CAH,CAH
NDAQ,NDAQ
ADSK,ADSK
STT,STT
DVN,DVN
EW,EW
LHX,LHX
CTVA,CTVA
FITB,FITB
PYPL,PYPL
HEI,HEI
AXON,AXON
ETR,ETR
CARR,CARR
AMP,AMP
WAB,WAB
BDX,BDX
XEL,XEL
ROK,ROK
XYZ,XYZ
WDAY,WDAY
EXC,EXC
VST,VST
ARES,ARES
HUM,HUM
EBAY,EBAY
TTWO,TTWO
FLEX,FLEX
IDXX,IDXX
ODFL,ODFL
PRU,PRU
CBRE,CBRE
PAYX,PAYX
CMG,CMG
LYV,LYV
A,A
KDP,KDP
MCHP,MCHP
MSCI,MSCI
DHI,DHI
NTAP,NTAP
ADM,ADM
VEEV,VEEV
IQV,IQV
YUM,YUM
AIG,AIG
WAT,WAT
SYY,SYY
ROP,ROP
EXPE,EXPE
COIN,COIN
UAL,UAL
HIG,HIG
PEG,PEG
CCL,CCL
MSTR,MSTR
MTB,MTB
EME,EME
WEC,WEC
KMB,KMB
STLD,STLD
TWLO,TWLO
HBAN,HBAN
JBL,JBL
VMC,VMC
MDB,MDB
NTRS,NTRS
RJF,RJF
DXCM,DXCM
EQT,EQT
CCI,CCI
CNC,CNC
RMD,RMD
CASY,CASY
MLM,MLM
BIIB,BIIB
IR,IR
ZM,ZM
TDY,TDY
CFG,CFG
ALNY,ALNY
ZTS,ZTS
ON,ON
ZS,ZS
CPRT,CPRT
LVS,LVS
KHC,KHC
FOXA,FOXA
DTE,DTE
LPLA,LPLA
HAL,HAL
WSM,WSM
ILMN,ILMN
EIX,EIX
MTD,MTD
FISV,FISV
DOV,DOV
FE,FE
ES,ES
AWK,AWK
TPR,TPR
RF,RF
OTIS,OTIS
DG,DG
PPL,PPL
CPAY,CPAY
CNP,CNP
XYL,XYL
SYF,SYF
LH,LH
CINF,CINF
CTSH,CTSH
DGX,DGX
WRB,WRB
FOX,FOX
JBHT,JBHT
HUBB,HUBB
MRNA,MRNA
OKTA,OKTA
VRSN,VRSN
DRI,DRI
DLTR,DLTR
INCY,INCY
PPG,PPG
TPL,TPL
NRG,NRG
KEY,KEY
WST,WST
EXPD,EXPD
PFG,PFG
GPN,GPN
PHM,PHM
OMC,OMC
VRSK,VRSK
XPO,XPO
TROW,TROW
ROKU,ROKU
CHD,CHD
BRO,BRO
FICO,FICO
FSLR,FSLR
USFD,USFD
ENTG,ENTG
L,L
STE,STE
MTZ,MTZ
RL,RL
DOW,DOW
MKL,MKL
STZ,STZ
FFIV,FFIV
PKG,PKG
CMS,CMS
ULTA,ULTA
UTHR,UTHR
THC,THC
GH,GH
WWD,WWD
RS,RS
FIS,FIS
EFX,EFX
IP,IP
BURL,BURL
LYB,LYB
LUV,LUV
IFF,IFF
SNA,SNA
LEN,LEN
TSN,TSN
GIS,GIS
CHTR,CHTR
NI,NI
MKSI,MKSI
RGLD,RGLD
BR,BR
EVRG,EVRG
SSNC,SSNC
ZBH,ZBH
VTRS,VTRS
DD,DD
BBY,BBY
EWBC,EWBC
GPC,GPC
TSCO,TSCO
LNT,LNT
CF,CF
LDOS,LDOS
FTV,FTV
NTNX,NTNX
LSCC,LSCC
ROL,ROL
ZBRA,ZBRA
DKS,DKS
CG,CG
IEX,IEX
BEN,BEN
JLL,JLL
WCC,WCC
CDW,CDW
CHRW,CHRW
NDSN,NDSN
H,H
J,J
AKAM,AKAM
GEN,GEN
MEDP,MEDP
PFGC,PFGC
BALL,BALL
PTC,PTC
ARMK,ARMK
RGA,RGA
NWSA,NWSA
PNFP,PNFP
NBIX,NBIX
ALB,ALB
TRU,TRU
TXT,TXT
COO,COO
GWRE,GWRE
SWK,SWK
APA,APA
CACI,CACI
MAS,MAS
IVZ,IVZ
UNM,UNM
DT,DT
LII,LII
CSL,CSL
RPM,RPM
ARCC,ARCC
W,W
EQH,EQH
GL,GL
BWA,BWA
AIZ,AIZ
TYL,TYL
CRL,CRL
SGI,SGI
AVY,AVY
AMKR,AMKR
HAS,HAS
BAX,BAX
TXRH,TXRH
TRMB,TRMB
ALLY,ALLY
FIVE,FIVE
PINS,PINS
GGG,GGG
AA,AA
FNF,FNF
EXEL,EXEL
CSGP,CSGP
BMRN,BMRN
WSO,WSO
PEN,PEN
CLX,CLX
RVTY,RVTY
CCK,CCK
SJM,SJM
SF,SF
GNRC,GNRC
HII,HII
DECK,DECK
GDDY,GDDY
ARWR,ARWR
FHN,FHN
EHC,EHC
PNW,PNW
AFG,AFG
ALGN,ALGN
BJ,BJ
OC,OC
HALO,HALO
ELAN,ELAN
IT,IT
MANH,MANH
DOCU,DOCU
GMED,GMED
HUBS,HUBS
KNX,KNX
EVR,EVR
WTRG,WTRG
DVA,DVA
SCI,SCI
RRX,RRX
TECH,TECH
DPZ,DPZ
MGM,MGM
JKHY,JKHY
JEF,JEF
WMS,WMS
DAR,DAR
MOH,MOH
ARW,ARW
CGNX,CGNX
AES,AES
WYNN,WYNN
NYT,NYT
AYI,AYI
CFR,CFR
ZION,ZION
ORI,ORI
UHS,UHS
FDS,FDS
PODD,PODD
SWKS,SWKS
FLS,FLS
HSIC,HSIC
SAIA,SAIA
PAYC,PAYC
IONS,IONS
OGE,OGE
CHWY,CHWY
BIO,BIO
RGEN,RGEN
AAL,AAL
ESI,ESI
OSK,OSK
BAH,BAH
TTEK,TTEK
VOYA,VOYA
MHK,MHK
AVTR,AVTR
TKR,TKR
ESTC,ESTC
WAL,WAL
BRKR,BRKR
SNAP,SNAP
LNC,LNC
LEVI,LEVI
HQY,HQY
QRVO,QRVO
EMN,EMN
UGI,UGI
AOS,AOS
LEA,LEA
PCTY,PCTY
ZWS,ZWS
NCLH,NCLH
ACM,ACM
ZG,ZG
LAD,LAD
TAP,TAP
HXL,HXL
AXTA,AXTA
AWI,AWI
NOV,NOV
CAG,CAG
OMF,OMF
DBX,DBX
FAF,FAF
BLDR,BLDR
ETSY,ETSY
SLAB,SLAB
TXG,TXG
LW,LW
CHE,CHE
AGCO,AGCO
CLF,CLF
POOL,POOL
MOS,MOS
INGR,INGR
WEX,WEX
AN,AN
LYFT,LYFT
LKQ,LKQ
LSTR,LSTR
RRR,RRR
TTD,TTD
ST,ST
CROX,CROX
ESNT,ESNT
CHDN,CHDN
EXP,EXP
M,M
BYD,BYD
FND,FND
CACC,CACC
G,G
DLB,DLB
MKTX,MKTX
VFC,VFC
NXST,NXST
TFX,TFX
OZK,OZK
RNG,RNG
WH,WH
FBIN,FBIN
VIRT,VIRT
PEGA,PEGA
BC,BC
MTN,MTN
SAIC,SAIC
IRDM,IRDM
EPAM,EPAM
MIDD,MIDD
SLM,SLM
GNTX,GNTX
VRNS,VRNS
LPX,LPX
ENPH,ENPH
BILL,BILL
CAR,CAR
CE,CE
TREX,TREX
ALK,ALK
KBR,KBR
OLLI,OLLI
RHI,RHI
TNL,TNL
NVST,NVST
VVV,VVV
MAT,MAT
SITE,SITE
THO,THO
SYNA,SYNA
PLNT,PLNT
VAC,VAC
QTWO,QTWO
WK,WK
OLED,OLED
PII,PII
DNLI,DNLI
POST,POST
BFAM,BFAM
FRPT,FRPT
SMG,SMG
IPGP,IPGP
ASH,ASH
GPK,GPK
RH,RH
YETI,YETI
COLM,COLM
HOG,HOG
MAN,MAN
EEFT,EEFT
ACHC,ACHC
WHR,WHR
NWL,NWL
RARE,RARE
PENN,PENN
FIVN,FIVN
COTY,COTY
CC,CC
WU,WU
XRAY,XRAY
BRSL,BRSL
PGNY,PGNY
ZD,ZD
SRPT,SRPT
SAM,SAM
BL,BL
HUN,HUN
GT,GT
DXC,DXC
INSP,INSP
OMCL,OMCL
TNDM,TNDM
VIR,VIR
ENOV,ENOV
AZTA,AZTA
LEG,LEG
FMC,FMC
TRIP,TRIP
TDOC,TDOC
VYX,VYX
FOXF,FOXF
HELE,HELE
CABO,CABO
TGT,TGT
LOW,LOW
MDT,MDT
HD,HD
CRM,CRM
AMG,AMG
ITT,ITT
HPQ,HPQ
AZO,AZO
AAP,AAP
GAP,GAP
MU,MU
DOX,DOX
SNX,SNX
EL,EL
TTC,TTC
MSM,MSM
KMX,KMX
KR,KR
PSTG,PSTG
KSS,KSS
DAL,DAL
TOL,TOL
BRKB,BRKB
PVH,PVH
OLN,OLN
